,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional,Season
0,1,Alaa Abdelnaby,PF,25,BOS,13,0,12.2,1.8,4.2,0.436,0.0,0.0,,1.8,4.2,0.436,0.436,1.2,1.9,0.64,0.9,2.6,3.5,0.2,0.2,0.2,1.3,1.5,4.9,abdelal01,1993-94
1,2,Mahmoud Abdul-Rauf,PG,24,DEN,80,78,32.7,7.4,16.0,0.46,0.5,1.7,0.316,6.8,14.3,0.476,0.476,2.7,2.9,0.956,0.3,1.8,2.1,4.5,1.0,0.1,1.9,1.9,18.0,abdulma02,1993-94
2,3,Michael Adams,PG,31,WSB,70,67,33.4,4.1,10.0,0.408,0.8,2.7,0.288,3.3,7.2,0.454,0.448,3.2,3.9,0.83,0.5,2.1,2.6,6.9,1.4,0.1,2.4,2.0,12.1,adamsmi01,1993-94
3,4,Mark Aguirre,SF,34,LAC,39,0,22.0,4.2,8.9,0.468,0.9,2.4,0.398,3.2,6.5,0.494,0.522,1.3,1.8,0.694,0.7,2.3,3.0,2.7,0.5,0.2,1.8,2.5,10.6,aguirma01,1993-94
4,5,Danny Ainge,SG,34,PHO,68,1,22.9,3.3,7.9,0.417,1.2,3.6,0.328,2.1,4.3,0.491,0.492,1.1,1.4,0.83,0.4,1.5,1.9,2.6,0.8,0.1,1.2,2.1,8.9,aingeda01,1993-94
5,6,Gary Alexander,PF,24,TOT,11,0,5.0,0.7,1.3,0.571,0.0,0.0,,0.7,1.3,0.571,0.571,0.3,0.8,0.333,0.6,0.7,1.4,0.2,0.3,0.0,0.7,0.9,1.7,alexaga01,1993-94
6,6,Gary Alexander,PF,24,MIA,4,0,3.0,0.3,0.5,0.5,0.0,0.0,,0.3,0.5,0.5,0.5,0.0,0.5,0.0,0.3,0.5,0.8,0.3,0.0,0.0,0.3,0.8,0.5,alexaga01,1993-94
7,6,Gary Alexander,PF,24,CLE,7,0,6.1,1.0,1.7,0.583,0.0,0.0,,1.0,1.7,0.583,0.583,0.4,1.0,0.429,0.9,0.9,1.7,0.1,0.4,0.0,1.0,1.0,2.4,alexaga01,1993-94
8,7,Victor Alexander,C,24,GSW,69,39,19.1,3.9,7.3,0.53,0.0,0.2,0.154,3.8,7.1,0.54,0.532,1.0,1.9,0.527,1.7,2.8,4.5,1.0,0.4,0.5,1.2,2.4,8.7,alexavi01,1993-94
9,8,Eric Anderson,PF,23,NYK,11,0,3.5,0.6,1.5,0.412,0.2,0.2,1.0,0.5,1.4,0.333,0.471,0.5,1.3,0.357,0.5,1.0,1.5,0.2,0.0,0.1,0.2,0.8,1.9,anderer01,1993-94
10,9,Greg Anderson,PF,29,DET,77,47,21.1,2.6,4.8,0.543,0.0,0.0,0.333,2.6,4.8,0.545,0.545,1.1,2.0,0.571,2.4,5.0,7.4,0.7,0.7,0.9,1.2,3.0,6.4,andergr01,1993-94
11,10,Kenny Anderson,PG,23,NJN,82,82,38.2,7.0,16.8,0.417,0.5,1.6,0.303,6.5,15.2,0.429,0.432,4.2,5.2,0.818,1.1,2.8,3.9,9.6,1.9,0.2,3.2,2.5,18.8,anderke01,1993-94
12,11,Nick Anderson,SG,26,ORL,81,81,34.7,6.2,13.0,0.478,1.2,3.9,0.322,5.0,9.1,0.545,0.526,2.1,3.1,0.672,1.4,4.5,5.9,3.6,1.7,0.4,2.0,1.8,15.8,anderni01,1993-94
13,12,Ron Anderson,SF,35,TOT,21,2,17.0,1.7,4.1,0.407,0.3,1.2,0.269,1.3,2.9,0.467,0.448,0.9,1.1,0.826,0.8,1.8,2.5,0.8,0.4,0.1,0.5,0.8,4.6,anderro01,1993-94
14,12,Ron Anderson,SF,35,NJN,11,2,16.0,1.4,3.9,0.349,0.4,1.1,0.333,1.0,2.8,0.355,0.395,0.9,1.1,0.833,0.7,1.6,2.4,0.5,0.5,0.2,0.1,0.8,4.0,anderro01,1993-94
15,12,Ron Anderson,SF,35,WSB,10,0,18.0,2.0,4.3,0.465,0.3,1.4,0.214,1.7,2.9,0.586,0.5,0.9,1.1,0.818,0.8,1.9,2.7,1.1,0.3,0.1,0.9,0.7,5.2,anderro01,1993-94
16,13,Willie Anderson,SG,27,SAS,80,79,31.1,4.9,10.5,0.471,0.3,0.9,0.324,4.7,9.6,0.484,0.484,1.8,2.1,0.848,0.9,2.2,3.0,4.3,0.9,0.6,1.9,2.3,11.9,anderwi01,1993-94
17,14,Greg Anthony,PG,26,NYK,80,36,24.9,2.8,7.1,0.394,0.6,2.0,0.3,2.2,5.1,0.431,0.436,1.6,2.1,0.774,0.5,1.8,2.4,4.6,1.4,0.2,1.6,2.0,7.9,anthogr01,1993-94
18,15,B.J. Armstrong,PG,26,CHI,82,82,33.8,5.8,12.3,0.476,0.7,1.6,0.444,5.1,10.6,0.481,0.505,2.4,2.8,0.855,0.3,1.7,2.1,3.9,1.0,0.1,1.6,1.8,14.8,armstbj01,1993-94
19,16,Vincent Askew,SG,27,SEA,80,3,21.1,3.4,7.1,0.481,0.1,0.4,0.194,3.3,6.7,0.498,0.487,2.2,2.6,0.829,0.8,1.6,2.3,2.4,0.9,0.2,0.9,1.8,9.1,askewvi01,1993-94
20,17,Keith Askins,SF,26,MIA,37,0,8.6,1.0,2.4,0.409,0.1,0.6,0.19,0.9,1.8,0.478,0.432,0.2,0.3,0.9,0.9,1.3,2.2,0.4,0.3,0.0,0.6,1.5,2.3,askinke01,1993-94
21,18,Stacey Augmon,SG,25,ATL,82,82,31.8,5.4,10.5,0.51,0.0,0.1,0.143,5.3,10.4,0.513,0.51,4.1,5.3,0.764,2.2,2.6,4.8,2.3,1.8,0.5,1.8,2.2,14.8,augmost01,1993-94
22,19,Isaac Austin,C,24,PHI,14,0,14.4,2.1,4.7,0.439,0.0,0.1,0.0,2.1,4.6,0.446,0.439,1.0,1.6,0.609,1.8,3.1,4.9,1.2,0.4,0.7,1.2,2.1,5.1,austiis01,1993-94
23,20,Anthony Avent,PF,24,TOT,74,40,18.5,2.0,5.4,0.377,0.0,0.0,,2.0,5.4,0.377,0.377,1.2,1.7,0.724,1.9,2.6,4.6,0.9,0.4,0.4,1.1,2.0,5.3,aventan01,1993-94
24,20,Anthony Avent,PF,24,MIL,33,20,21.1,2.8,6.9,0.404,0.0,0.0,,2.8,6.9,0.404,0.404,1.8,2.4,0.772,1.8,2.8,4.7,1.0,0.5,0.6,1.3,1.8,7.4,aventan01,1993-94
25,20,Anthony Avent,PF,24,ORL,41,20,16.5,1.4,4.1,0.341,0.0,0.0,,1.4,4.1,0.341,0.341,0.7,1.1,0.636,2.0,2.4,4.5,0.8,0.4,0.3,1.0,2.1,3.5,aventan01,1993-94
26,21,John Bagley,PG,33,ATL,3,0,4.3,0.0,0.7,0.0,0.0,0.0,,0.0,0.7,0.0,0.0,0.7,0.7,1.0,0.0,0.3,0.3,1.0,0.0,0.0,0.0,0.7,0.7,baglejo01,1993-94
27,22,Thurl Bailey,PF,32,MIN,79,3,16.4,2.9,5.8,0.51,0.0,0.0,0.0,2.9,5.7,0.512,0.51,1.5,1.9,0.799,0.8,1.9,2.7,0.7,0.3,0.7,0.7,1.2,7.4,baileth01,1993-94
28,23,Vin Baker,C,22,MIL,82,63,31.2,5.3,10.6,0.501,0.0,0.1,0.2,5.3,10.5,0.502,0.501,2.9,5.0,0.569,3.4,4.2,7.6,2.0,0.7,1.4,2.0,2.8,13.5,bakervi01,1993-94
29,24,Charles Barkley*,PF,30,PHO,65,65,35.4,8.0,16.1,0.495,0.7,2.7,0.27,7.2,13.4,0.541,0.518,4.9,7.0,0.704,3.0,8.1,11.2,4.6,1.6,0.6,3.2,2.5,21.6,barklch01,1993-94
30,25,Dana Barros,PG,26,PHI,81,70,31.1,5.1,10.8,0.469,1.7,4.4,0.381,3.4,6.5,0.529,0.546,1.4,1.8,0.8,0.3,2.1,2.4,5.2,1.3,0.1,2.1,1.2,13.3,barroda01,1993-94
31,26,Jon Barry,SG,24,MIL,72,7,17.3,2.2,5.3,0.414,0.4,1.6,0.278,1.8,3.7,0.472,0.455,1.3,1.7,0.795,0.5,1.5,2.0,2.3,1.4,0.2,1.2,1.5,6.2,barryjo01,1993-94
32,27,John Battle,SG,31,CLE,51,1,16.0,2.5,5.4,0.476,0.1,0.4,0.263,2.5,5.0,0.492,0.485,1.4,1.9,0.753,0.1,0.6,0.8,1.6,0.4,0.0,0.8,1.3,6.6,battljo01,1993-94
33,28,Benoit Benjamin,C,29,NJN,77,74,23.6,3.7,7.6,0.48,0.0,0.0,,3.7,7.6,0.48,0.48,2.0,2.8,0.71,1.8,4.7,6.5,0.6,0.5,1.2,1.3,2.6,9.3,benjabe01,1993-94
34,29,Tony Bennett,PG,24,CHH,74,5,13.3,1.4,3.6,0.399,0.4,1.0,0.36,1.1,2.5,0.415,0.451,0.1,0.2,0.733,0.2,1.0,1.2,2.2,0.5,0.0,0.5,1.1,3.4,benneto01,1993-94
35,30,David Benoit,SF,25,UTA,55,18,19.5,2.5,6.6,0.385,0.2,1.1,0.203,2.3,5.5,0.421,0.402,1.2,1.6,0.773,1.6,3.1,4.7,0.4,0.4,0.7,0.7,2.1,6.5,benoida01,1993-94
36,31,Rolando Blackman,SG,34,NYK,55,1,17.6,2.9,6.7,0.436,0.5,1.5,0.357,2.4,5.2,0.46,0.477,0.9,1.0,0.906,0.4,1.3,1.7,1.4,0.5,0.1,0.8,1.8,7.3,blackro01,1993-94
37,32,Mookie Blaylock,PG,26,ATL,81,81,36.0,5.5,13.3,0.411,1.4,4.2,0.334,4.1,9.1,0.447,0.464,1.4,2.0,0.73,1.4,3.8,5.2,9.7,2.6,0.5,2.4,1.8,13.8,blaylmo01,1993-94
38,33,Corie Blount,PF,25,CHI,67,8,10.3,1.1,2.6,0.437,0.0,0.0,,1.1,2.6,0.437,0.437,0.7,1.1,0.613,1.1,1.8,2.9,0.8,0.3,0.5,0.8,1.4,3.0,blounco01,1993-94
39,34,Muggsy Bogues,PG,29,CHH,77,77,35.7,4.6,9.8,0.471,0.0,0.2,0.167,4.6,9.6,0.476,0.473,1.6,2.0,0.806,1.0,3.1,4.1,10.1,1.7,0.0,2.2,1.9,10.8,boguemu01,1993-94
40,35,Manute Bol,C,31,TOT,14,0,8.3,0.3,1.4,0.211,0.0,0.2,0.0,0.3,1.1,0.25,0.211,0.0,0.0,,0.2,1.1,1.3,0.1,0.1,1.1,0.4,0.9,0.6,bolma01,1993-94
41,35,Manute Bol,C,31,MIA,8,0,7.6,0.1,1.5,0.083,0.0,0.4,0.0,0.1,1.1,0.111,0.083,0.0,0.0,,0.1,1.3,1.4,0.0,0.0,0.8,0.6,0.5,0.3,bolma01,1993-94
42,35,Manute Bol,C,31,WSB,2,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.0,bolma01,1993-94
43,35,Manute Bol,C,31,PHI,4,0,12.3,0.8,1.8,0.429,0.0,0.0,,0.8,1.8,0.429,0.429,0.0,0.0,,0.5,1.0,1.5,0.0,0.5,2.3,0.0,2.0,1.5,bolma01,1993-94
44,36,Walter Bond,SG,24,UTA,56,4,10.0,1.1,2.8,0.404,0.3,1.0,0.352,0.8,1.8,0.431,0.465,0.6,0.7,0.775,0.4,0.7,1.1,0.6,0.3,0.2,0.3,1.6,3.1,bondwa01,1993-94
45,37,Anthony Bonner,SF,25,NYK,73,38,19.2,2.2,3.9,0.563,0.0,0.0,,2.2,3.9,0.563,0.563,0.7,1.4,0.476,2.1,2.7,4.7,1.2,1.0,0.2,1.2,2.4,5.1,bonnean01,1993-94
46,38,Anthony Bowie,SG,30,ORL,70,0,13.5,2.0,4.1,0.481,0.0,0.3,0.056,2.0,3.9,0.509,0.483,0.6,0.7,0.837,0.4,1.3,1.7,1.5,0.5,0.2,0.8,1.2,4.6,bowiean01,1993-94
47,39,Sam Bowie,C,32,LAL,25,7,22.2,3.0,6.9,0.436,0.0,0.2,0.25,3.0,6.7,0.44,0.439,2.9,3.3,0.867,1.1,4.2,5.2,1.9,0.2,1.1,1.7,2.6,8.9,bowiesa01,1993-94
48,40,Shawn Bradley,C,21,PHI,49,45,28.3,4.1,10.0,0.409,0.0,0.1,0.0,4.1,10.0,0.412,0.409,2.1,3.4,0.607,2.0,4.2,6.2,2.0,0.9,3.0,3.0,3.5,10.3,bradlsh01,1993-94
49,41,Terrell Brandon,PG,23,CLE,73,10,21.2,3.2,7.5,0.42,0.1,0.4,0.219,3.1,7.1,0.432,0.426,1.9,2.2,0.858,0.5,1.7,2.2,3.8,1.2,0.2,1.5,1.5,8.3,brandte01,1993-94
50,42,Randy Breuer,C,33,SAC,26,3,9.5,0.3,1.0,0.308,0.0,0.0,0.0,0.3,1.0,0.32,0.308,0.1,0.5,0.214,0.6,1.6,2.2,0.3,0.2,0.7,0.3,1.2,0.7,breuera01,1993-94
51,43,Frank Brickowski,C,34,TOT,71,46,29.5,5.2,10.6,0.488,0.1,0.3,0.2,5.1,10.3,0.496,0.491,2.7,3.6,0.768,1.2,4.5,5.7,3.1,1.1,0.4,2.5,3.4,13.2,brickfr01,1993-94
52,43,Frank Brickowski,C,34,MIL,43,40,33.5,5.8,12.1,0.482,0.1,0.4,0.167,5.8,11.7,0.493,0.485,3.4,4.4,0.775,1.2,5.3,6.5,3.8,1.2,0.4,2.9,3.8,15.2,brickfr01,1993-94
53,43,Frank Brickowski,C,34,CHH,28,6,23.3,4.2,8.3,0.502,0.0,0.1,0.5,4.1,8.3,0.502,0.504,1.7,2.3,0.746,1.1,3.3,4.5,2.0,1.0,0.4,2.0,2.8,10.1,brickfr01,1993-94
54,44,Kevin Brooks,SF,24,DEN,34,0,5.6,1.1,2.9,0.364,0.1,0.7,0.174,0.9,2.2,0.421,0.384,0.3,0.3,0.9,0.1,0.5,0.6,0.1,0.0,0.1,0.4,0.6,2.5,brookke01,1993-94
55,45,Scott Brooks,PG,28,HOU,73,0,16.8,1.9,4.0,0.491,0.3,0.8,0.377,1.6,3.1,0.522,0.531,1.0,1.2,0.871,0.1,1.3,1.4,2.0,0.7,0.0,0.8,1.3,5.2,brooksc01,1993-94
56,46,Chucky Brown,SF,25,DAL,1,0,10.0,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,brownch01,1993-94
57,47,Dee Brown,SG,25,BOS,77,76,37.2,6.4,13.3,0.48,0.4,1.2,0.313,6.0,12.0,0.497,0.495,2.4,2.8,0.831,0.8,3.1,3.9,4.5,2.0,0.6,1.6,2.7,15.5,brownde01,1993-94
58,48,Mike Brown,C,30,MIN,82,40,23.4,1.4,3.2,0.427,0.0,0.0,0.0,1.4,3.1,0.43,0.427,0.9,1.4,0.653,1.5,4.0,5.5,0.9,0.6,0.4,0.9,2.7,3.6,brownmi01,1993-94
59,49,P.J. Brown,C,24,NJN,79,54,24.7,2.1,5.1,0.415,0.0,0.1,0.167,2.1,5.0,0.419,0.417,1.5,1.9,0.757,2.4,3.9,6.2,1.2,0.9,1.2,0.9,2.2,5.7,brownpj01,1993-94
60,50,Randy Brown,PG,25,SAC,61,2,17.1,1.8,4.1,0.438,0.0,0.1,0.0,1.8,4.0,0.445,0.438,0.9,1.4,0.609,0.7,1.2,1.8,2.2,1.0,0.2,1.2,2.2,4.5,brownra02,1993-94
61,51,Mark Bryant,C,28,POR,79,10,18.2,2.3,4.9,0.482,0.0,0.0,0.0,2.3,4.8,0.483,0.482,0.9,1.3,0.692,1.5,2.5,4.0,0.5,0.4,0.4,0.8,2.4,5.6,bryanma01,1993-94
62,52,Jud Buechler,SF,25,GSW,36,0,6.1,1.2,2.3,0.5,0.3,0.8,0.414,0.8,1.5,0.545,0.571,0.3,0.6,0.5,0.4,0.5,0.9,0.4,0.2,0.0,0.3,0.7,2.9,buechju01,1993-94
63,53,Matt Bullard,PF,26,HOU,65,0,11.2,1.2,3.5,0.345,0.8,2.4,0.325,0.4,1.1,0.389,0.456,0.3,0.4,0.769,0.4,0.9,1.3,1.0,0.2,0.1,0.4,1.0,3.5,bullama01,1993-94
64,54,Evers Burns,PF,22,SAC,23,0,6.2,1.0,2.4,0.4,0.0,0.0,,1.0,2.4,0.4,0.4,0.5,1.0,0.522,0.6,0.7,1.3,0.4,0.3,0.1,0.3,1.4,2.4,burnsev01,1993-94
