,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional,Season
246,210,Mark McNamara,C,29,LAL,39,0,8.2,0.8,1.6,0.5,0.0,0.0,,0.8,1.6,0.5,0.5,1.3,2.0,0.628,1.0,1.6,2.6,0.3,0.1,0.1,0.6,1.3,2.9,mcnamma01,1988-89
247,211,Reggie Miller*,SG,23,IND,74,70,34.3,5.4,11.2,0.479,1.3,3.3,0.402,4.1,7.9,0.511,0.538,3.9,4.6,0.844,1.0,3.0,3.9,3.1,1.3,0.4,1.9,2.3,16.0,millere01,1988-89
248,212,Todd Mitchell,SF,22,TOT,24,0,14.7,1.8,4.0,0.443,0.0,0.0,,1.8,4.0,0.443,0.443,1.5,2.7,0.578,0.8,1.3,2.1,0.9,0.7,0.1,1.4,2.1,5.1,mitchto01,1988-89
249,212,Todd Mitchell,SF,22,MIA,22,0,14.5,1.9,4.0,0.466,0.0,0.0,,1.9,4.0,0.466,0.466,1.6,2.7,0.6,0.8,1.4,2.1,0.9,0.7,0.1,1.3,2.2,5.4,mitchto01,1988-89
250,212,Todd Mitchell,SF,22,SAS,2,0,16.5,1.0,4.5,0.222,0.0,0.0,,1.0,4.5,0.222,0.222,0.5,2.0,0.25,0.5,1.0,1.5,0.5,0.5,0.0,2.0,1.0,2.5,mitchto01,1988-89
251,213,Paul Mokeski,C,32,MIL,74,0,9.3,0.8,2.2,0.36,0.1,0.4,0.269,0.7,1.9,0.377,0.381,0.5,0.7,0.784,0.9,1.7,2.5,0.5,0.4,0.3,0.5,2.1,2.2,mokespa01,1988-89
252,214,Sidney Moncrief*,PG,31,MIL,62,50,25.7,4.2,8.6,0.491,0.4,1.2,0.342,3.8,7.4,0.514,0.514,3.3,3.8,0.865,0.7,2.0,2.8,3.0,1.0,0.2,1.5,1.8,12.1,moncrsi01,1988-89
253,215,Chris Morris,SF,23,NJN,76,48,27.6,5.4,11.9,0.457,0.8,2.3,0.366,4.6,9.6,0.479,0.493,2.4,3.3,0.717,2.5,2.8,5.2,1.6,1.3,0.8,2.5,3.3,14.1,morrich01,1988-89
254,216,Richard Morton,PG,22,IND,2,0,5.5,1.5,2.0,0.75,0.0,0.0,,1.5,2.0,0.75,0.75,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,0.5,1.0,3.0,mortori01,1988-89
255,217,Chris Mullin*,SF,25,GSW,82,82,37.7,10.1,19.9,0.509,0.3,1.2,0.23,9.8,18.7,0.527,0.516,6.0,6.7,0.892,1.9,4.0,5.9,5.1,2.1,0.5,3.6,2.2,26.5,mullich01,1988-89
