,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Player-additional,Season
0,1,Mahmoud Abdul-Rauf,PG,27,SAC,75,2131,13.2,0.524,0.266,0.147,0.9,5.9,3.3,15.8,1.4,0.2,10.8,23.2,,2.0,0.7,2.7,0.06,,-0.8,-1.8,-2.6,-0.4,abdulma02,1996-97
1,2,Shareef Abdur-Rahim,PF,20,VAN,80,2802,17.4,0.518,0.022,0.428,8.8,14.2,11.5,12.1,1.5,2.2,13.5,27.6,,1.7,1.2,2.9,0.049,,0.3,-2.1,-1.8,0.2,abdursh01,1996-97
2,3,Rafael Addison,SF,32,CHH,41,355,10.6,0.476,0.164,0.23,6.7,8.6,7.7,15.5,1.2,0.6,11.2,20.1,,0.2,0.1,0.4,0.048,,-2.6,-1.7,-4.4,-0.2,addisra01,1996-97
3,4,Cory Alexander,PG,23,SAS,80,1454,14.3,0.528,0.514,0.263,2.3,8.0,5.1,30.0,3.1,0.9,21.1,22.2,,0.5,0.6,1.1,0.035,,0.3,-0.8,-0.6,0.5,alexaco01,1996-97
4,5,Jerome Allen,SG,24,TOT,76,943,8.7,0.451,0.421,0.326,3.1,9.0,6.1,25.3,1.8,0.3,21.4,15.6,,-0.3,0.8,0.4,0.021,,-2.5,-0.2,-2.6,-0.1,allenje01,1996-97
5,5,Jerome Allen,SG,24,IND,51,692,8.7,0.489,0.401,0.32,2.3,8.8,5.6,24.9,2.1,0.0,25.0,14.9,,-0.2,0.7,0.5,0.035,,-2.7,0.4,-2.3,-0.1,allenje01,1996-97
6,5,Jerome Allen,SG,24,DEN,25,251,8.9,0.376,0.459,0.338,5.5,9.4,7.5,26.3,0.8,1.1,13.3,17.4,,-0.1,0.0,-0.1,-0.019,,-1.7,-1.8,-3.5,-0.1,allenje01,1996-97
7,6,Ray Allen*,SG,21,MIL,82,2532,14.6,0.541,0.328,0.274,4.7,11.0,7.9,13.9,1.6,0.3,12.8,21.4,,3.3,1.5,4.9,0.092,,0.8,-0.9,-0.1,1.2,allenra02,1996-97
8,7,Derrick Alston,C,24,ATL,2,11,-9.0,0.0,0.0,0.4,33.3,10.6,21.7,0.0,0.0,0.0,0.0,25.2,,-0.1,0.0,-0.1,-0.415,,-9.5,-12.1,-21.6,-0.1,alstode01,1996-97
9,8,Ashraf Amaya,PF,25,WSB,31,144,8.8,0.382,0.025,0.7,15.7,26.4,21.1,2.9,2.5,1.6,16.0,19.4,,-0.2,0.3,0.1,0.019,,-6.2,-0.9,-7.1,-0.2,amayaas01,1996-97
