,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Player-additional,Season
0,1,Alaa Abdelnaby,PF,25,BOS,13,159,9.2,0.485,0.0,0.455,8.5,24.2,16.3,2.7,0.6,1.2,20.5,22.6,,-0.2,0.1,-0.1,-0.032,,-5.3,-2.2,-7.4,-0.2,abdelal01,1993-94
1,2,Mahmoud Abdul-Rauf,PG,24,DEN,80,2617,16.7,0.521,0.104,0.179,1.2,5.8,3.6,24.1,1.6,0.2,9.9,24.9,,4.4,2.4,6.8,0.125,,1.5,-0.7,0.8,1.9,abdulma02,1993-94
2,3,Michael Adams,PG,31,WSB,70,2337,14.2,0.52,0.274,0.387,1.8,7.4,4.6,29.8,2.1,0.2,17.0,18.1,,2.9,0.2,3.1,0.063,,0.5,-1.5,-1.0,0.6,adamsmi01,1993-94
3,4,Mark Aguirre,SF,34,LAC,39,859,13.1,0.544,0.267,0.207,3.5,10.8,7.2,18.5,1.2,0.6,15.6,21.6,,0.6,0.3,0.9,0.05,,-0.5,-1.4,-1.8,0.0,aguirma01,1993-94
4,5,Danny Ainge,SG,34,PHO,68,1555,11.8,0.524,0.454,0.175,2.0,7.4,4.7,15.9,1.8,0.3,12.3,17.8,,1.9,1.0,2.8,0.087,,-0.8,-0.5,-1.3,0.3,aingeda01,1993-94
5,6,Gary Alexander,PF,24,TOT,11,55,8.6,0.529,0.0,0.643,14.7,16.8,15.8,5.4,2.9,0.0,30.8,21.0,,-0.1,0.1,0.0,-0.032,,-6.6,-1.5,-8.1,-0.1,alexaga01,1993-94
6,6,Gary Alexander,PF,24,MIA,4,12,0.8,0.347,0.0,1.0,9.4,19.0,14.2,11.5,0.0,0.0,25.8,13.9,,0.0,0.0,0.0,-0.09,,-7.8,-2.1,-10.0,0.0,alexaga01,1993-94
7,6,Gary Alexander,PF,24,CLE,7,43,10.7,0.564,0.0,0.583,16.2,16.2,16.2,3.7,3.7,0.0,31.7,23.0,,-0.1,0.1,0.0,-0.015,,-6.3,-1.4,-7.6,-0.1,alexaga01,1993-94
8,7,Victor Alexander,C,24,GSW,69,1318,14.0,0.539,0.026,0.257,9.5,15.7,12.6,7.3,1.0,1.5,13.3,20.2,,1.1,1.1,2.3,0.083,,-1.1,-0.9,-2.1,0.0,alexavi01,1993-94
9,8,Eric Anderson,PF,23,NYK,11,39,15.2,0.453,0.118,0.824,17.8,31.3,24.7,8.5,0.0,1.8,7.9,28.3,,0.0,0.1,0.1,0.126,,-3.4,-1.7,-5.1,0.0,anderer01,1993-94
10,9,Greg Anderson,PF,29,DET,77,1624,14.6,0.561,0.008,0.416,12.3,26.9,19.5,4.6,1.7,2.7,17.7,14.3,,1.4,2.0,3.4,0.101,,-1.7,0.1,-1.6,0.2,andergr01,1993-94
11,10,Kenny Anderson,PG,23,NJN,82,3135,18.2,0.491,0.096,0.306,2.9,8.0,5.4,40.6,2.5,0.3,14.5,24.6,,4.3,3.2,7.5,0.114,,2.5,-0.1,2.4,3.4,anderke01,1993-94
12,11,Nick Anderson,SG,26,ORL,81,2811,16.9,0.549,0.298,0.237,4.6,14.3,9.5,15.7,2.4,0.7,12.4,20.2,,4.6,3.0,7.6,0.129,,2.0,0.6,2.5,3.2,anderni01,1993-94
13,12,Ron Anderson,SF,35,TOT,21,356,9.9,0.499,0.302,0.267,4.9,11.8,8.3,6.8,1.1,0.5,9.4,12.7,,0.3,0.2,0.5,0.061,,-1.4,-1.3,-2.7,-0.1,anderro01,1993-94
14,12,Ron Anderson,SF,35,NJN,11,176,9.5,0.456,0.279,0.279,4.7,11.0,7.8,4.8,1.4,0.7,2.0,11.8,,0.2,0.2,0.3,0.09,,-1.9,0.0,-1.9,0.0,anderro01,1993-94
15,12,Ron Anderson,SF,35,WSB,10,180,10.2,0.543,0.326,0.256,5.1,12.6,8.8,8.7,0.8,0.3,15.8,13.6,,0.1,0.0,0.1,0.033,,-0.9,-2.5,-3.4,-0.1,anderro01,1993-94
16,13,Willie Anderson,SG,27,SAS,80,2488,14.2,0.523,0.081,0.204,3.2,7.5,5.5,21.6,1.5,1.2,14.4,19.2,,3.2,2.3,5.6,0.107,,0.2,0.1,0.3,1.4,anderwi01,1993-94
17,14,Greg Anthony,PG,26,NYK,80,1994,13.0,0.487,0.28,0.294,2.5,8.1,5.4,27.3,3.0,0.5,16.5,17.0,,1.6,3.9,5.5,0.132,,-0.8,2.4,1.6,1.8,anthogr01,1993-94
18,15,B.J. Armstrong,PG,26,CHI,82,2770,14.5,0.547,0.134,0.225,1.2,6.0,3.6,18.0,1.5,0.2,10.6,19.8,,4.9,2.6,7.5,0.13,,0.3,-0.4,-0.1,1.3,armstbj01,1993-94
19,16,Vincent Askew,SG,27,SEA,80,1690,15.9,0.551,0.055,0.372,4.2,8.7,6.5,16.8,2.2,0.8,9.6,18.5,,3.9,2.1,6.0,0.169,,1.1,0.7,1.8,1.6,askewvi01,1993-94
20,17,Keith Askins,SF,26,MIA,37,319,8.2,0.46,0.239,0.114,11.7,17.5,14.6,5.9,1.8,0.2,18.5,15.3,,-0.1,0.4,0.3,0.044,,-4.2,-0.4,-4.6,-0.2,askinke01,1993-94
21,18,Stacey Augmon,SG,25,ATL,82,2605,17.9,0.576,0.008,0.506,7.5,9.2,8.3,11.0,2.9,1.1,12.3,19.8,,5.7,4.0,9.7,0.179,,1.3,1.4,2.7,3.1,augmost01,1993-94
22,19,Isaac Austin,C,24,PHI,14,201,14.1,0.473,0.015,0.348,13.6,24.1,18.8,13.2,1.2,3.0,18.3,20.1,,0.0,0.2,0.2,0.04,,-2.9,-1.2,-4.2,-0.1,austiis01,1993-94
23,20,Anthony Avent,PF,24,TOT,74,1371,9.2,0.43,0.0,0.309,11.7,16.4,14.0,6.8,1.2,1.5,15.8,16.9,,-0.6,1.0,0.4,0.014,,-3.7,-1.4,-5.1,-1.1,aventan01,1993-94
24,20,Anthony Avent,PF,24,MIL,33,695,11.3,0.466,0.0,0.346,9.4,16.5,12.7,7.4,1.2,1.9,14.1,19.0,,-0.1,0.4,0.3,0.022,,-2.8,-1.5,-4.3,-0.4,aventan01,1993-94
25,20,Anthony Avent,PF,24,ORL,41,676,7.1,0.38,0.0,0.259,14.1,16.4,15.3,6.2,1.3,1.0,18.2,14.6,,-0.5,0.6,0.1,0.006,,-4.6,-1.4,-6.0,-0.7,aventan01,1993-94
26,21,John Bagley,PG,33,ATL,3,13,7.6,0.347,0.0,1.0,0.0,8.5,4.2,28.1,0.0,0.0,0.0,9.5,,0.0,0.0,0.0,0.105,,-5.4,-1.4,-6.8,0.0,baglejo01,1993-94
27,22,Thurl Bailey,PF,32,MIN,79,1297,15.2,0.56,0.004,0.327,6.1,13.2,9.7,7.2,0.8,2.9,10.0,19.5,,1.9,0.7,2.6,0.097,,0.5,-0.8,-0.3,0.6,baileth01,1993-94
28,23,Vin Baker,C,22,MIL,82,2560,16.1,0.526,0.006,0.473,11.8,16.3,13.9,10.6,1.2,3.0,13.4,20.5,,2.6,1.7,4.4,0.082,,0.0,-1.1,-1.2,0.5,bakervi01,1993-94
