,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Player-additional,Season
0,1,Arron Afflalo,SG,24,DEN,82,2221,10.9,0.576,0.426,0.168,3.1,9.9,6.5,9.3,1.0,1.0,10.5,14.0,,2.8,1.4,4.3,0.092,,-0.2,-0.2,-0.4,0.9,afflaar01,2009-10
1,2,Alexis Ajinça,C,21,CHA,6,30,6.3,0.479,0.0,0.1,4.1,11.8,8.0,0.0,1.8,2.7,16.1,19.3,,-0.1,0.0,0.0,-0.013,,-6.3,1.0,-5.3,0.0,ajincal01,2009-10
2,3,LaMarcus Aldridge,PF,24,POR,78,2922,18.2,0.535,0.014,0.26,8.1,18.6,13.3,9.9,1.3,1.3,7.4,22.9,,5.5,3.3,8.8,0.145,,1.4,-0.2,1.2,2.3,aldrila01,2009-10
3,4,Joe Alexander,SF,23,CHI,8,29,2.8,0.273,0.167,0.5,7.8,11.3,9.6,9.3,1.8,2.6,0.0,11.3,,0.0,0.0,0.0,0.03,,-9.1,0.9,-8.3,0.0,alexajo01,2009-10
4,5,Malik Allen,PF,31,DEN,51,456,5.9,0.431,0.052,0.112,9.2,11.5,10.4,5.1,1.2,0.8,15.3,14.0,,-0.3,0.3,0.1,0.009,,-4.7,-1.0,-5.7,-0.4,allenma01,2009-10
5,6,Ray Allen*,SG,34,BOS,80,2819,15.2,0.601,0.41,0.26,2.0,8.8,5.5,12.3,1.2,0.7,10.6,20.2,,5.1,2.9,7.9,0.135,,1.5,-0.3,1.2,2.3,allenra02,2009-10
6,7,Tony Allen,SG,28,BOS,54,889,14.2,0.54,0.02,0.47,7.4,12.5,10.0,13.0,3.5,1.7,17.8,19.6,,0.2,1.6,1.9,0.1,,-1.8,2.2,0.4,0.5,allento01,2009-10
7,8,Rafer Alston,PG,33,TOT,52,1421,8.2,0.443,0.377,0.182,1.0,9.7,5.3,20.2,1.9,0.5,16.5,18.8,,-1.6,1.2,-0.4,-0.013,,-3.3,-0.5,-3.8,-0.6,alstora01,2009-10
8,8,Rafer Alston,PG,33,NJN,27,766,8.7,0.436,0.314,0.195,1.3,10.4,5.6,23.1,1.9,0.5,16.9,21.7,,-1.2,0.4,-0.8,-0.051,,-3.0,-1.1,-4.0,-0.4,alstora01,2009-10
9,8,Rafer Alston,PG,33,MIA,25,655,7.7,0.456,0.479,0.16,0.7,8.9,4.8,16.7,1.9,0.6,15.8,15.4,,-0.4,0.8,0.4,0.031,,-3.7,0.3,-3.4,-0.2,alstora01,2009-10
