,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Player-additional,Season
0,1,Kareem Abdul-Jabbar*,C,41,LAL,74,1695,12.9,0.511,0.005,0.25,7.3,14.2,11.0,6.1,1.1,2.9,11.5,20.1,,0.9,2.0,2.9,0.082,,-1.9,-0.2,-2.1,0.0,abdulka01,1988-89
1,2,Mark Acres,C,26,BOS,62,632,8.2,0.507,0.009,0.421,10.9,15.6,13.3,3.7,1.5,0.6,14.5,10.4,,0.4,0.5,0.9,0.066,,-3.0,-0.4,-3.4,-0.2,acresma01,1988-89
2,3,Michael Adams,PG,26,DEN,77,2787,17.5,0.567,0.431,0.363,2.5,8.3,5.2,22.2,2.7,0.2,12.5,19.7,,5.4,2.9,8.3,0.143,,2.7,0.2,2.9,3.4,adamsmi01,1988-89
3,4,Mark Aguirre,SF,29,TOT,80,2597,16.4,0.524,0.137,0.309,6.4,10.0,8.3,17.9,0.9,0.8,12.6,27.4,,2.4,2.1,4.5,0.082,,1.4,-1.3,0.1,1.4,aguirma01,1988-89
4,4,Mark Aguirre,SF,29,DAL,44,1529,17.3,0.509,0.119,0.294,6.6,10.3,8.5,21.5,0.9,1.1,13.0,30.5,,0.7,1.0,1.7,0.052,,1.5,-1.9,-0.4,0.6,aguirma01,1988-89
5,4,Mark Aguirre,SF,29,DET,36,1068,15.1,0.551,0.17,0.338,6.2,9.6,8.0,12.7,0.8,0.4,11.8,23.0,,1.7,1.1,2.8,0.126,,1.2,-0.3,0.9,0.8,aguirma01,1988-89
6,5,Danny Ainge,PG,29,TOT,73,2377,18.0,0.554,0.29,0.228,3.3,8.7,6.0,25.3,1.9,0.2,11.1,22.6,,5.2,1.4,6.7,0.135,,2.9,-0.4,2.5,2.7,aingeda01,1988-89
7,5,Danny Ainge,PG,29,BOS,45,1349,17.5,0.553,0.263,0.217,3.2,9.8,6.6,23.1,1.9,0.0,11.3,22.4,,2.9,0.8,3.8,0.133,,2.7,-0.4,2.3,1.5,aingeda01,1988-89
8,5,Danny Ainge,PG,29,SAC,28,1028,18.6,0.554,0.325,0.242,3.5,7.1,5.3,28.1,1.9,0.4,11.0,22.9,,2.3,0.6,2.9,0.136,,3.1,-0.5,2.7,1.2,aingeda01,1988-89
9,6,Mark Alarie,PF,25,WSB,74,1141,13.3,0.531,0.088,0.202,9.5,15.2,12.2,7.8,1.0,1.1,11.7,18.7,,1.2,1.0,2.2,0.093,,-1.1,-0.8,-2.0,0.0,alarima01,1988-89
10,7,Steve Alford,PG,24,TOT,66,906,11.9,0.522,0.17,0.188,1.1,6.8,4.0,13.2,2.2,0.2,11.4,16.6,,0.7,0.7,1.4,0.072,,-2.1,-0.5,-2.5,-0.1,alforst01,1988-89
11,7,Steve Alford,PG,24,DAL,9,38,7.2,0.295,0.182,0.182,0.0,8.6,4.4,32.0,1.3,0.0,7.8,14.7,,0.0,0.0,0.0,-0.026,,-4.8,0.4,-4.4,0.0,alforst01,1988-89
