,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Player-additional,Season
0,1,Quincy Acy,PF,25,SAC,59,876,14.7,0.629,0.229,0.318,8.1,15.1,11.6,4.4,1.6,2.2,10.0,13.1,,1.8,0.7,2.5,0.137,,-0.2,0.2,-0.1,0.4,acyqu01,2015-16
1,2,Jordan Adams,SG,21,MEM,2,15,17.3,0.427,0.167,0.833,0.0,15.9,7.6,31.9,10.3,0.0,19.6,30.5,,0.0,0.0,0.0,0.015,,-2.5,9.4,6.9,0.0,adamsjo01,2015-16
2,3,Steven Adams,C,22,OKC,80,2014,15.5,0.621,0.0,0.46,12.5,16.1,14.4,4.3,1.0,3.3,14.1,12.6,,4.2,2.3,6.5,0.155,,0.0,0.2,0.2,1.1,adamsst01,2015-16
3,4,Arron Afflalo,SG,30,NYK,71,2371,10.9,0.531,0.298,0.164,1.1,11.0,6.1,9.9,0.5,0.3,8.7,17.9,,1.8,0.9,2.7,0.055,,-1.3,-1.6,-2.9,-0.5,afflaar01,2015-16
4,5,Alexis Ajinça,C,27,NOP,59,861,13.8,0.514,0.003,0.197,9.3,25.9,17.3,5.8,1.1,3.4,13.6,20.4,,0.2,0.9,1.0,0.058,,-3.4,-0.6,-4.0,-0.4,ajincal01,2015-16
5,6,Cole Aldrich,C,27,LAC,60,800,21.3,0.626,0.0,0.373,11.9,27.1,19.6,10.0,2.9,6.7,19.6,18.4,,1.4,2.0,3.5,0.209,,-0.9,3.4,2.4,0.9,aldrico01,2015-16
6,7,LaMarcus Aldridge,PF,30,SAS,74,2261,22.4,0.565,0.015,0.289,9.2,22.2,15.9,8.1,0.9,2.8,7.8,25.9,,5.6,4.5,10.1,0.215,,2.0,0.3,2.3,2.5,aldrila01,2015-16
7,8,Cliff Alexander,PF,20,POR,8,36,11.6,0.5,0.0,0.0,6.0,12.1,9.0,0.0,1.4,4.4,9.1,13.3,,0.0,0.0,0.0,0.052,,-0.5,0.5,0.0,0.0,alexacl01,2015-16
8,9,Lavoy Allen,PF,26,IND,79,1599,12.4,0.532,0.0,0.197,11.1,17.8,14.5,7.1,0.8,2.1,14.6,13.0,,1.6,2.1,3.7,0.11,,-1.7,0.1,-1.6,0.2,allenla01,2015-16
9,10,Tony Allen,SG,34,MEM,64,1620,12.9,0.505,0.09,0.294,7.0,14.1,10.4,6.9,3.5,1.0,12.8,16.8,,0.5,1.9,2.4,0.072,,-2.2,1.2,-1.0,0.4,allento01,2015-16
10,11,Al-Farouq Aminu,SF,25,POR,82,2341,12.7,0.533,0.485,0.217,4.5,18.6,11.5,8.8,1.5,1.8,13.2,16.9,,1.7,2.3,4.0,0.082,,-0.2,0.2,0.1,1.2,aminual01,2015-16
11,12,Lou Amundson,PF,33,NYK,29,204,6.7,0.401,0.0,0.509,12.5,13.7,13.1,8.8,1.5,2.6,18.8,17.7,,-0.3,0.2,-0.1,-0.014,,-6.7,-0.2,-6.9,-0.3,amundlo01,2015-16
12,13,Chris Andersen,C,37,TOT,27,402,15.3,0.598,0.194,0.5,9.9,18.2,13.9,4.4,1.9,2.9,9.3,10.8,,0.8,0.4,1.3,0.149,,0.7,0.0,0.7,0.3,anderch01,2015-16
13,13,Chris Andersen,C,37,MIA,7,36,17.6,0.553,0.5,0.4,9.8,18.3,14.2,12.2,1.4,6.4,14.5,17.5,,0.1,0.1,0.1,0.165,,1.2,3.3,4.5,0.1,anderch01,2015-16
14,13,Chris Andersen,C,37,MEM,20,366,15.1,0.605,0.145,0.516,9.9,18.2,13.9,3.7,2.0,2.5,8.4,10.2,,0.7,0.4,1.1,0.148,,0.6,-0.3,0.4,0.2,anderch01,2015-16
15,14,Alan Anderson,SG,33,WAS,13,192,9.2,0.495,0.627,0.254,0.6,15.5,7.9,10.3,1.0,0.4,3.0,15.4,,0.2,0.2,0.3,0.078,,-2.4,0.1,-2.3,0.0,anderal01,2015-16
16,15,James Anderson,SG,26,SAC,51,721,6.0,0.469,0.483,0.163,2.0,10.9,6.5,7.7,1.4,1.6,18.0,13.7,,-0.6,0.4,-0.3,-0.017,,-3.9,-0.6,-4.5,-0.5,anderja01,2015-16
17,16,Justin Anderson,SF,22,DAL,55,647,12.3,0.522,0.474,0.314,3.1,19.3,11.2,6.8,1.5,3.2,10.8,15.8,,0.3,0.8,1.1,0.083,,-1.1,1.4,0.3,0.4,anderju01,2015-16
18,17,Kyle Anderson,SF,22,SAS,78,1245,12.9,0.528,0.125,0.281,2.4,19.4,11.2,13.7,2.5,1.8,15.1,14.4,,0.7,2.8,3.5,0.133,,-1.7,3.1,1.4,1.1,anderky01,2015-16
19,18,Ryan Anderson,PF,27,NOP,66,2008,17.2,0.546,0.385,0.245,7.0,15.2,10.9,6.1,0.9,1.0,8.0,24.7,,3.1,0.8,3.9,0.092,,2.2,-2.4,-0.2,0.9,anderry01,2015-16
20,19,Giannis Antetokounmpo,PG,21,MIL,80,2823,18.8,0.566,0.108,0.404,4.6,20.0,12.4,20.0,1.7,3.4,14.8,22.3,,4.2,2.9,7.1,0.121,,1.3,0.7,2.1,2.9,antetgi01,2015-16
21,20,Thanasis Antetokounmpo,SF,23,NYK,2,6,32.9,0.75,0.25,0.0,0.0,17.9,9.1,0.0,0.0,0.0,0.0,30.2,,0.0,0.0,0.0,0.291,,3.7,2.2,5.9,0.0,antetth01,2015-16
22,21,Carmelo Anthony,SF,31,NYK,72,2530,20.3,0.53,0.237,0.308,4.3,19.5,12.0,21.9,1.3,1.1,10.6,29.7,,3.9,2.5,6.4,0.121,,3.8,-0.5,3.3,3.4,anthoca01,2015-16
23,22,Joel Anthony,C,33,DET,19,96,14.1,0.666,0.0,0.8,8.8,15.4,11.9,1.4,1.1,9.5,12.9,7.0,,0.2,0.2,0.4,0.177,,-2.9,3.3,0.4,0.1,anthojo01,2015-16
24,23,Keith Appling,PG,23,ORL,5,27,-4.8,0.338,0.375,0.25,0.0,4.2,2.1,5.0,1.9,0.0,25.3,19.5,,-0.1,0.0,-0.1,-0.199,,-13.2,-2.0,-15.1,-0.1,applike01,2015-16
